Cosmic Time [Gyr],SFR [Msun/yr],Metallicity
5.20750000,62.71321860,0.02464770
5.21950000,65.13032583,0.02487183
5.23150000,65.01272471,0.02499588
5.24350000,66.98823374,0.02517818
5.25550000,67.34058895,0.02545337
5.26750000,67.42230831,0.02560210
5.27950000,65.49340388,0.02598634
5.29150000,66.10571702,0.02590027
5.30350000,65.13758535,0.02587343
5.31550000,64.34540859,0.02601006
5.32750000,65.86148042,0.02633057
5.33950000,65.88760945,0.02661602
5.35150000,64.74619373,0.02678725
5.36350000,64.56447819,0.02682222
5.37550000,64.95103463,0.02688956
5.38750000,64.80709993,0.02717611
5.39950000,64.70468082,0.02757098
5.41150000,66.02637565,0.02823077
5.42350000,64.80871677,0.02884267
5.43550000,63.69469336,0.02904868
5.44750000,60.64851607,0.02913790
5.45950000,58.45496092,0.02936251
5.47150000,56.49597099,0.02937575
5.48350000,56.90771644,0.02964443
5.49550000,56.09697175,0.03005151
5.50750000,54.75805917,0.03058233
5.51950000,53.05421975,0.03086002
5.53150000,52.99765484,0.03125902
5.54350000,51.67566936,0.03127499
5.55550000,52.61402360,0.03151149
5.56750000,53.33510874,0.03166080
5.57950000,55.52303784,0.03185244
5.59150000,55.96571455,0.03200414
5.60350000,57.45814155,0.03213292
5.61550000,59.98158599,0.03237052
5.62750000,60.58191606,0.03244845
5.63950000,61.26399302,0.03245543
5.65150000,63.34057066,0.03271936
5.66350000,63.96762221,0.03291213
5.67550000,64.20496339,0.03327927
5.68750000,64.99031152,0.03345306
5.69950000,65.21927012,0.03385683
5.71150000,66.31434134,0.03419596
5.72350000,65.83946236,0.03438117
5.73550000,65.33801981,0.03424151
5.74750000,66.51964115,0.03466049
5.75950000,65.05777385,0.03476395
5.77150000,65.96196004,0.03487494
5.78350000,64.94696027,0.03527429
5.79550000,64.71333618,0.03565115
5.80750000,64.64678184,0.03607759
5.81950000,64.57278637,0.03655045
5.83150000,63.92438015,0.03676282
5.84350000,62.81726167,0.03720092
5.85550000,61.37184475,0.03777118
5.86750000,60.80463424,0.03807420
5.87950000,60.93477870,0.03876955
5.89150000,60.01156719,0.03943204
5.90350000,58.53331173,0.04002863
5.91550000,56.22585348,0.04026838
5.92750000,52.70313656,0.04043346
5.93950000,50.43802216,0.04079372
5.95150000,47.28939153,0.04097931
5.96350000,44.31707428,0.04157450
5.97550000,41.63764180,0.04196996
5.98750000,38.48872966,0.04208532
5.99950000,36.72280996,0.04204627
6.01150000,35.63483193,0.04235357
6.02350000,33.63730606,0.04225456
6.03550000,32.79541193,0.04259855
6.04750000,31.67855249,0.04251808
6.05950000,30.48779531,0.04212080
6.07150000,29.25535862,0.04065472
6.08350000,27.18199289,0.03905528
6.09550000,24.78922142,0.03791029
6.10750000,23.10135978,0.03632796
6.11950000,21.35540010,0.03500656
6.13150000,20.57749357,0.03502608
6.14350000,19.71069365,0.03485838
6.15550000,19.24374211,0.03543543
6.16750000,19.20128436,0.03524686
6.17950000,19.12082205,0.03577649
6.19150000,18.55955740,0.03690124
6.20350000,19.16457068,0.03778448
6.21550000,20.34305066,0.03940278
6.22750000,20.56389784,0.03914484
6.23950000,19.85889646,0.03887641
6.25150000,18.88894954,0.03641380
6.26350000,17.79297355,0.03408889
6.27550000,17.07202663,0.03261743
6.28750000,16.44985653,0.03056659
6.29950000,15.89826803,0.02904997
6.31150000,14.56584847,0.02743283
6.32350000,13.95449214,0.02613483
6.33550000,14.33810382,0.02575270
6.34750000,13.97909275,0.02541798
6.35950000,13.50376771,0.02493398
6.37150000,13.44145292,0.02536342
6.38350000,13.44488705,0.02538205
6.39550000,14.46671982,0.02546688
6.40750000,15.22444837,0.02525269
6.41950000,15.76778189,0.02492555
6.43150000,16.40382979,0.02510157
6.44350000,17.11760613,0.02392826
6.45550000,17.93682100,0.02441855
6.46750000,19.01156307,0.02424800
6.47950000,19.28873155,0.02399123
6.49150000,19.23101836,0.02412036
6.50350000,18.81824434,0.02413654
6.51550000,19.18889172,0.02478715
6.52750000,18.74486089,0.02511060
6.53950000,19.45847473,0.02589623
6.55150000,19.05819701,0.02612106
6.56350000,18.68851304,0.02668990
6.57550000,18.78662704,0.02728731
6.58750000,19.10921487,0.02799929
6.59950000,18.75576122,0.02820374
6.61150000,18.73907792,0.03048570
6.62350000,17.84353415,0.02974565
6.63550000,16.27820720,0.02887211
6.64750000,15.34226149,0.02915102
6.65950000,14.16057597,0.02878383
6.67150000,12.75897047,0.02889485
6.68350000,11.36089567,0.02886491
6.69550000,10.18103856,0.02759169
6.70750000,9.57485840,0.02802284
6.71950000,8.59545761,0.02783039
6.73150000,8.64441540,0.02854670
6.74350000,7.57107902,0.02811853
6.75550000,7.99092545,0.02847149
6.76750000,8.27966343,0.02857383
6.77950000,8.20870867,0.02876395
6.79150000,8.06048822,0.02852416
6.80350000,8.14947918,0.02914150
6.81550000,7.62780714,0.02751663
6.82750000,8.06776599,0.02803581
6.83950000,8.97695035,0.02903213
6.85150000,9.96189126,0.02932171
6.86350000,10.74581781,0.03043271
6.87550000,11.24189967,0.03063757
6.88750000,11.28207466,0.03050148
6.89950000,11.36933526,0.03121226
6.91150000,11.36501019,0.03084540
6.92350000,11.57397388,0.03113029
6.93550000,11.21940158,0.03018134
6.94750000,11.21867206,0.03044965
6.95950000,10.74694141,0.03062677
6.97150000,10.07822669,0.03030127
6.98350000,9.48715558,0.02940394
6.99550000,9.70078649,0.03024184
7.00750000,9.96901296,0.03062863
7.01950000,10.41200638,0.03209465
7.03150000,10.56851364,0.03221563
7.04350000,10.48880932,0.03138754
7.05550000,10.16260883,0.03092849
7.06750000,10.08021440,0.03009938
7.07950000,9.92223808,0.03047697
7.09150000,9.97868401,0.03000513
7.10350000,9.88984512,0.02894262
7.11550000,9.51523124,0.02819036
7.12750000,9.78083445,0.02760738
7.13950000,9.43578382,0.02718054
7.15150000,9.04106134,0.02680258
7.16350000,8.88608447,0.02665655
7.17550000,9.18091482,0.02669783
7.18750000,9.60718900,0.02685702
7.19950000,9.34468489,0.02619713
7.21150000,9.28952072,0.02644268
7.22350000,9.00304927,0.02607677
7.23550000,9.23807536,0.02635891
7.24750000,8.86322093,0.02653016
7.25950000,9.02283272,0.02715886
7.27150000,9.41847246,0.02814331
7.28350000,9.55269916,0.02781597
7.29550000,10.01730990,0.02794038
7.30750000,10.20885558,0.02783777
7.31950000,10.83970436,0.02817222
7.33150000,11.23706762,0.02843250
7.34350000,11.42678931,0.02921708
7.35550000,11.67510957,0.02958170
7.36750000,11.73940995,0.02990857
7.37950000,11.80239133,0.02855206
7.39150000,11.34413529,0.02861964
7.40350000,11.26795177,0.02884285
7.41550000,10.71913050,0.02864715
7.42750000,10.55376279,0.02906723
7.43950000,10.39691836,0.02897009
7.45150000,10.60119953,0.02931001
7.46350000,10.97135744,0.02997595
7.47550000,10.31741530,0.02925866
7.48750000,10.50965250,0.02974755
7.49950000,10.86283508,0.03063233
7.51150000,11.49867033,0.03135902
7.52350000,11.87743553,0.03124973
7.53550000,12.07837132,0.03213191
7.54750000,12.24388355,0.03226996
7.55950000,11.91277010,0.03198761
7.57150000,11.73663776,0.03116410
7.58350000,11.00597524,0.03136234
7.59550000,10.62048909,0.03076615
7.60750000,10.61362636,0.03128917
7.61950000,10.82728824,0.03263419
7.63150000,10.76578295,0.03211484
7.64350000,10.49101767,0.03216218
7.65550000,10.25976510,0.03170256
7.66750000,9.71828880,0.03147814
7.67950000,10.21416582,0.03193539
7.69150000,10.48742289,0.03169280
7.70350000,10.59210286,0.03153529
7.71550000,10.82898250,0.03058981
7.72750000,10.71990793,0.02960191
7.73950000,10.75153838,0.02851418
7.75150000,10.68693291,0.02811324
7.76350000,10.55554719,0.02787028
7.77550000,11.18058372,0.02877410
7.78750000,10.82108362,0.02816790
7.79950000,10.81228550,0.02814834
7.81150000,11.06459688,0.02858795
7.82350000,10.59818380,0.02774792
7.83550000,10.11518775,0.02748308
7.84750000,10.17935341,0.02722819
7.85950000,9.80798125,0.02748613
7.87150000,9.77046037,0.02832206
7.88350000,9.63589473,0.02861958
7.89550000,9.76743086,0.02861476
7.90750000,10.09608703,0.02751730
7.91950000,10.84756579,0.02819295
7.93150000,11.15588934,0.02792956
7.94350000,11.08223464,0.02818225
7.95550000,11.22239410,0.02846763
7.96750000,11.96506928,0.02931592
7.97950000,11.84385241,0.02846602
7.99150000,12.16926590,0.02873426
8.00350000,12.26665616,0.02848967
8.01550000,11.85109097,0.02831094
8.02750000,11.91572076,0.02785842
8.03950000,11.76763972,0.02782871
8.05150000,11.27725518,0.02763378
8.06350000,10.98746893,0.02845932
8.07550000,11.28734837,0.02786534
8.08750000,11.01996433,0.02750920
8.09950000,11.80190015,0.02738758
8.11150000,11.66197172,0.02757440
8.12350000,11.57149261,0.02691273
8.13550000,11.14194720,0.02675615
8.14750000,11.57441728,0.02698390
8.15950000,11.19013120,0.02686545
8.17150000,10.62277710,0.02602457
8.18350000,10.35073077,0.02574422
8.19550000,10.01226151,0.02574774
8.20750000,9.66937149,0.02594150
8.21950000,9.36497535,0.02610657
8.23150000,8.91646006,0.02622162
8.24350000,9.16419502,0.02667120
8.25550000,9.23818812,0.02675956
8.26750000,9.26423542,0.02667507
8.27950000,9.49655164,0.02705331
8.29150000,9.85567117,0.02757658
8.30350000,10.81115065,0.02713904
8.31550000,11.65963011,0.02725984
8.32750000,12.86623876,0.02748818
8.33950000,13.70108101,0.02668469
8.35150000,14.86254816,0.02668136
8.36350000,15.21925508,0.02615349
8.37550000,16.49997674,0.02678939
8.38750000,16.98451335,0.02681088
8.39950000,17.14336915,0.02721982
8.41150000,17.44072001,0.02753538
8.42350000,17.40701738,0.02725708
8.43550000,17.53822032,0.02746126
8.44750000,17.26324236,0.02766395
8.45950000,17.20610973,0.02805422
8.47150000,17.37800203,0.02832980
8.48350000,17.48990531,0.02841924
8.49550000,17.46100247,0.02850027
8.50750000,17.67122964,0.02895235
8.51950000,18.77563265,0.02868070
8.53150000,19.42119416,0.02805461
8.54350000,20.63907094,0.02799141
8.55550000,21.61207401,0.02807955
8.56750000,22.97614984,0.02866305
8.57950000,23.05958144,0.02819526
8.59150000,23.09401390,0.02805317
8.60350000,22.99365384,0.02765757
8.61550000,22.71877644,0.02768933
8.62750000,22.34434298,0.02772617
8.63950000,21.89306376,0.02822738
8.65150000,21.67180353,0.02821916
8.66350000,21.00400936,0.02825490
8.67550000,19.73601244,0.02848967
8.68750000,19.52853550,0.02847751
8.69950000,19.88372510,0.02848333
8.71150000,19.90648185,0.02832282
8.72350000,21.63452365,0.02846675
8.73550000,23.65565485,0.02867468
8.74750000,26.41214614,0.02912303
8.75950000,28.70952819,0.02895945
8.77150000,30.05169457,0.02903302
8.78350000,30.11539548,0.02940551
8.79550000,29.98927879,0.02947464
8.80750000,30.86572686,0.02992193
8.81950000,31.09337728,0.03017130
8.83150000,32.75935524,0.03038757
8.84350000,33.29111986,0.03026340
8.85550000,33.65013557,0.03056606
8.86750000,34.39378604,0.03048187
8.87950000,35.62842258,0.03007971
8.89150000,36.12969938,0.03006677
8.90350000,37.20196210,0.02995458
8.91550000,39.58026658,0.03003776
8.92750000,43.08509365,0.03023134
8.93950000,45.95943654,0.03026620
8.95150000,46.12725169,0.03031019
8.96350000,45.83193864,0.03067765
8.97550000,44.72186406,0.03087601
8.98750000,43.56929865,0.03102609
8.99950000,42.50712253,0.03117050
9.01150000,40.31559774,0.03103739
9.02350000,37.98738054,0.03076128
9.03550000,34.95784113,0.03054753
9.04750000,31.74984064,0.03021626
9.05950000,29.15503009,0.02984961
9.07150000,26.38779978,0.02955254
9.08350000,24.61893592,0.02950155
9.09550000,24.21049306,0.02928265
9.10750000,24.62997113,0.02932328
9.11950000,26.77377207,0.02946595
9.13150000,26.93290997,0.02966619
9.14350000,26.77882611,0.03011553
9.15550000,27.11841188,0.03033414
9.16750000,27.94187356,0.03046966
9.17950000,27.84956048,0.03082039
9.19150000,28.78014436,0.03122590
9.20350000,28.41482504,0.03083923
9.21550000,27.52342212,0.03058531
9.22750000,26.65569079,0.03035659
9.23950000,25.70715433,0.03003348
9.25150000,23.77663653,0.02963766
9.26350000,23.73907836,0.02914979
9.27550000,23.55271403,0.02882661
9.28750000,22.34514534,0.02845197
9.29950000,22.90284832,0.02823408
9.31150000,24.32381428,0.02867749
9.32350000,24.92481450,0.02858731
9.33550000,26.00197402,0.02874039
9.34750000,26.87762462,0.02895129
